"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  565"
"response","count","percent_responded"
"Sleep/insomnia","320","56.64"
"Pain","315","55.75"
"Depression/mood","293","51.86"
"Anxiety/panic attacks","270","47.79"
"Aggression","149","26.37"
"Headache","122","21.59"
"Inflammation","115","20.35"
"Attention/concentration","111","19.65"
"Appetite/weight","94","16.64"
"Spasms","90","15.93"
"Nausea/vomiting","64","11.33"
"Other (please specify)","33","5.84"
"Ocular pressure","21","3.72"
"Skin conditions","18","3.19"
"Mania/psychosis","16","2.83"
"Respiratory","12","2.12"
"Drug withdrawal","7","1.24"
"Seizures","6","1.06"
