"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  232"
"response","count","percent_responded"
"Chronic pain","169","72.84"
"Anxiety","164","70.69"
"Depression","144","62.07"
"Posttraumatic stress disorder (PTSD)","130","56.03"
"Arthritis","91","39.22"
"Insomnia","77","33.19"
"Gastrointestinal/digestive system disorders","55","23.71"
"Hypertension","55","23.71"
"Reflux esophagitis","51","21.98"
"Obesity","49","21.12"
"Allergies","48","20.69"
"Other (please specify)","37","15.95"
"Attention deficit/hyperactivity disorder (ADHD)","33","14.22"
"Respiratory problems","31","13.36"
"Diabetes","26","11.21"
"Inflammatory bowel disease (IBD)","26","11.21"
"Cancer","24","10.34"
"Substance abuse/addiction","23","9.91"
"Eczema","21","9.05"
"Cardiovascular disease","18","7.76"
"Fibromyalgia/myositis","14","6.03"
"Bipolar/manic depression","12","5.17"
"HIV/AIDS","2","0.86"
"Epilepsy","1","0.43"
