"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  265"
"response","count","percent_responded"
"Depression/mood","157","59.25"
"Sleep/insomnia","156","58.87"
"Pain","139","52.45"
"Anxiety/panic attacks","129","48.68"
"Aggression","71","26.79"
"Headache","54","20.38"
"Attention/concentration","49","18.49"
"Inflammation","44","16.6"
"Appetite/weight","40","15.09"
"Spasms","31","11.7"
"Nausea/vomiting","30","11.32"
"Other (please specify)","11","4.15"
"Ocular pressure","8","3.02"
"Mania/psychosis","7","2.64"
"Skin conditions","7","2.64"
"Respiratory","2","0.75"
"Drug withdrawal","1","0.38"
"Seizures","1","0.38"
