"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  391  avg =  57.83"
"response","count","percent_responded"
"100","124","31.71"
"0","78","19.95"
"80","24","6.14"
"70","23","5.88"
"60","19","4.86"
"50","16","4.09"
"10","15","3.84"
"90","14","3.58"
"20","11","2.81"
"30","10","2.56"
"99","7","1.79"
"40","6","1.53"
"1","4","1.02"
"3","3","0.77"
"49","3","0.77"
"6","3","0.77"
"92","3","0.77"
"22","2","0.51"
"75","2","0.51"
"81","2","0.51"
"9","2","0.51"
"93","2","0.51"
"11","1","0.26"
"14","1","0.26"
"2","1","0.26"
"23","1","0.26"
"28","1","0.26"
"31","1","0.26"
"43","1","0.26"
"47","1","0.26"
"48","1","0.26"
"5","1","0.26"
"51","1","0.26"
"53","1","0.26"
"64","1","0.26"
"67","1","0.26"
"87","1","0.26"
"94","1","0.26"
"97","1","0.26"
"98","1","0.26"
