"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  293"
"response","count","percent_responded"
"Depression","242","82.59"
"Anxiety","226","77.13"
"Chronic pain","204","69.62"
"Posttraumatic stress disorder (PTSD)","196","66.89"
"Insomnia","127","43.34"
"Arthritis","99","33.79"
"Gastrointestinal/digestive system disorders","35","11.95"
"Substance abuse/addiction","35","11.95"
"Attention deficit/hyperactivity disorder (ADHD)","34","11.6"
"Hypertension","32","10.92"
"Bipolar/manic depression","27","9.22"
"Other (please specify)","24","8.19"
"Fibromyalgia/myositis","21","7.17"
"Inflammatory bowel disease (IBD)","15","5.12"
"Cancer","13","4.44"
"Diabetes","12","4.1"
"Reflux esophagitis","11","3.75"
"Respiratory problems","9","3.07"
"Allergies","8","2.73"
"Obesity","8","2.73"
"Cardiovascular disease","5","1.71"
"Eczema","5","1.71"
"HIV/AIDS","5","1.71"
"Epilepsy","4","1.37"
"Multiple sclerosis","4","1.37"
"Alzheimer's","1","0.34"
"Autism","1","0.34"
