"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  32"
"response","count","percent_responded"
"Chronic pain","23","71.88"
"Anxiety","21","65.62"
"Depression","20","62.5"
"Posttraumatic stress disorder (PTSD)","17","53.12"
"Arthritis","13","40.62"
"Insomnia","13","40.62"
"Gastrointestinal/digestive system disorders","9","28.12"
"Hypertension","8","25"
"Reflux esophagitis","7","21.88"
"Allergies","6","18.75"
"Attention deficit/hyperactivity disorder (ADHD)","6","18.75"
"Cancer","5","15.62"
"Respiratory problems","5","15.62"
"Diabetes","4","12.5"
"Inflammatory bowel disease (IBD)","4","12.5"
"Obesity","4","12.5"
"Substance abuse/addiction","4","12.5"
"Bipolar/manic depression","3","9.38"
"Cardiovascular disease","3","9.38"
"Fibromyalgia/myositis","3","9.38"
"Other (please specify)","3","9.38"
"Eczema","2","6.25"
