"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  320"
"response","count","percent_responded"
"Money to purchase products","178","55.62"
"Access to the right products","144","45"
"Owning a firearm","114","35.62"
"Money required to get medical card","111","34.69"
"Stigma","109","34.06"
"Workplace testing or other policies","87","27.19"
"Place to consume cannabis","70","21.88"
"Lack of knowledge","43","13.44"
"Other (please specify)","31","9.69"
"Previous bad experience","5","1.56"
