"q57","What product(s) and/or strain(s) do you want that are not currently available in your local dispensaries?","n =  79"
"response","count","percent_responded"
"None","9","11.39"
"N/A","5","6.33"
NA,"3","3.8"
"n/a","2","2.53"
"Na","2","2.53"
"none","2","2.53"
"Unknown","2","2.53"
"?","1","1.27"
"0","1","1.27"
"All","1","1.27"
"all low anlexty strains","1","1.27"
"All the ones recommended for PTSD","1","1.27"
"Alot","1","1.27"
"Any","1","1.27"
"Any - Virginia can't get it's act together","1","1.27"
"Banana kush","1","1.27"
"Blue Dream","1","1.27"
"Capsules, and stronger edibles","1","1.27"
"cartriges","1","1.27"
"CBD/THC 1:1","1","1.27"
"CT dispensaries and overall program needs reform.","1","1.27"
"Edibles","1","1.27"
"Edibles ","1","1.27"
"Flavored vape cart","1","1.27"
"Garrila glue","1","1.27"
"gg","1","1.27"
"Ghost train Haze ","1","1.27"
"got no local dispensery","1","1.27"
"Grandpa Larry","1","1.27"
"Grape God","1","1.27"
"Greater mixes of CBG:THC ratios","1","1.27"
"Green Crack","1","1.27"
"Grow my own and edibles","1","1.27"
"Harlequin ","1","1.27"
"hashish","1","1.27"
"Hawaian Fresian Duck","1","1.27"
"I don't know","1","1.27"
"Indica ","1","1.27"
"King Louis, more indica, more CBN, CBG, and terpene profiles","1","1.27"
"Lambs breath, landrace strains","1","1.27"
"Lotions","1","1.27"
"More 1:1 or 2:1 thc:cbd ratio","1","1.27"
"more INDICA with lower THC,i need sleep","1","1.27"
"More vape choices","1","1.27"
"more varety of flower,pre-rolls vapor","1","1.27"
"N/a","1","1.27"
"Na ","1","1.27"
"No answer","1","1.27"
"No local dispensary ","1","1.27"
"not sure","1","1.27"
"Not sure ","1","1.27"
"Sfv Kush, Mendo Breathe and Durban Poison for daytime","1","1.27"
"test","1","1.27"
"thai stick","1","1.27"
"The dispensary has wonderful products but they are sometimes limited or out of stock.","1","1.27"
"to many to list ","1","1.27"
"Unk","1","1.27"
"Vape Carts","1","1.27"
"Vietnamese Gold","1","1.27"
"where good","1","1.27"
"White Rino","1","1.27"
