"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  266"
"response","count","percent_responded"
"Anxiety","221","83.08"
"Depression","204","76.69"
"Chronic pain","196","73.68"
"Posttraumatic stress disorder (PTSD)","180","67.67"
"Insomnia","121","45.49"
"Arthritis","84","31.58"
"Allergies","64","24.06"
"Gastrointestinal/digestive system disorders","53","19.92"
"Other (please specify)","48","18.05"
"Attention deficit/hyperactivity disorder (ADHD)","45","16.92"
"Obesity","43","16.17"
"Substance abuse/addiction","43","16.17"
"Hypertension","42","15.79"
"Reflux esophagitis","37","13.91"
"Inflammatory bowel disease (IBD)","31","11.65"
"Bipolar/manic depression","30","11.28"
"Respiratory problems","28","10.53"
"Fibromyalgia/myositis","15","5.64"
"Eczema","14","5.26"
"Cancer","7","2.63"
"Cardiovascular disease","7","2.63"
"Diabetes","5","1.88"
"HIV/AIDS","5","1.88"
"Alzheimer's","2","0.75"
"Epilepsy","2","0.75"
"Multiple sclerosis","1","0.38"
