"q13","Where are the locations of your pain (please check all that apply)","n =  153"
"response","count","percent_responded"
"Lower back","117","76.47"
"Knee","85","55.56"
"General joint pain","79","51.63"
"Neck","75","49.02"
"Shoulder","70","45.75"
"Leg","68","44.44"
"Hips","64","41.83"
"Hand","56","36.6"
"Foot","55","35.95"
"Upper back","53","34.64"
"Generalized muscle pain","45","29.41"
"Head/headache","45","29.41"
"Wrist","41","26.8"
"Arm","39","25.49"
"Abdomen","23","15.03"
"Buttocks","23","15.03"
"Mouth/dental pain","23","15.03"
"Full body","22","14.38"
"Stomach","16","10.46"
"Other (please specify)","14","9.15"
"Chest","9","5.88"
"Face","4","2.61"
"Rectum","4","2.61"
"Genitalia","2","1.31"
