"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  33"
"response","count","percent_responded"
"Dry mouth","26","78.79"
"Changes in appetite","14","42.42"
"Increased energy","14","42.42"
"Memory problems","8","24.24"
"More or less talkative","8","24.24"
"Feeling of being ""altered""","7","21.21"
"Sleepiness/fatigue","7","21.21"
"Anxiety","5","15.15"
"Heart racing/palpitations","4","12.12"
"Tough to get started in the morning (lassitude) or ""couch lock""","4","12.12"
"Difficulty concentrating","3","9.09"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","3","9.09"
"Racing thoughts","3","9.09"
"Changes in libido","2","6.06"
"Nausea","2","6.06"
"Other (please specify)","2","6.06"
"Paranoia","2","6.06"
"Sweating","2","6.06"
"Depression","1","3.03"
"Dizziness","1","3.03"
"GI changes (constipation, diarrhea, abdominal discomfort)","1","3.03"
"Headache","1","3.03"
