"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  641"
"response","count","percent_responded"
"Depression","641","100"
"Anxiety","572","89.24"
"Sleep","484","75.51"
"Pain","400","62.4"
"Inflammation","260","40.56"
"Headache","229","35.73"
"Nausea","195","30.42"
"Attention/concentration","193","30.11"
"Appetite/weight","155","24.18"
"Spasms","153","23.87"
"Aggression","141","22"
"Other (please specify)","50","7.8"
"Skin conditions","38","5.93"
"Drug withdrawl","27","4.21"
"Mainia/psychosis","25","3.9"
"Ocular pressure","23","3.59"
"Respiratory","20","3.12"
"Seizures","16","2.5"
"No Symptoms","1","0.16"
