"q10","Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.","n =  442"
"response","count","percent_responded"
"Narcotics/opioids","148","33.48"
"NSAID/non-opioid analgesics","127","28.73"
"Muscle relaxants","122","27.6"
"Not actively trying to reduce medication Intake","122","27.6"
"Antidepressants","96","21.72"
"Other (please specify)","64","14.48"
"Anxiolytics/Benzodiazepines","59","13.35"
"Other (please specify below)","46","10.41"
"Antimigraine","40","9.05"
"Sedatives/hypnotics","31","7.01"
"Anti-convulsants","16","3.62"
"Proton pump inhibitors","14","3.17"
"Antipsychotics","12","2.71"
