"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  105"
"response","count","percent_responded"
"Depression/mood","78","74.29"
"Pain","66","62.86"
"Sleep/insomnia","65","61.9"
"Anxiety/panic attacks","60","57.14"
"Attention/concentration","41","39.05"
"Aggression","39","37.14"
"Appetite/weight","37","35.24"
"Headache","32","30.48"
"Inflammation","29","27.62"
"Spasms","26","24.76"
"Nausea/vomiting","17","16.19"
"Skin conditions","9","8.57"
"Ocular pressure","7","6.67"
"Other (please specify)","6","5.71"
"Respiratory","5","4.76"
"Mania/psychosis","4","3.81"
"Seizures","3","2.86"
"Drug withdrawal","2","1.9"
