"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  101"
"response","count","percent_responded"
"Sleep","86","85.15"
"Anxiety","76","75.25"
"Pain","69","68.32"
"Depression","60","59.41"
"Inflammation","41","40.59"
"Nausea","33","32.67"
"Spasms","29","28.71"
"Headache","27","26.73"
"Appetite/weight","25","24.75"
"Attention/concentration","23","22.77"
"Aggression","22","21.78"
"Other (please specify)","9","8.91"
"Respiratory","6","5.94"
"Mainia/psychosis","5","4.95"
"Skin conditions","5","4.95"
"Drug withdrawl","3","2.97"
"Ocular pressure","3","2.97"
"Seizures","3","2.97"
