"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  148"
"response","count","percent_responded"
"Pain","100","67.57"
"Sleep/insomnia","78","52.7"
"Depression/mood","66","44.59"
"Anxiety/panic attacks","50","33.78"
"Aggression","30","20.27"
"Inflammation","30","20.27"
"Headache","29","19.59"
"Attention/concentration","26","17.57"
"Spasms","24","16.22"
"Appetite/weight","22","14.86"
"Nausea/vomiting","15","10.14"
"Other (please specify)","9","6.08"
"Respiratory","5","3.38"
"Skin conditions","5","3.38"
"Ocular pressure","4","2.7"
"Drug withdrawal","1","0.68"
"Mania/psychosis","1","0.68"
"Seizures","1","0.68"
