"q57","What product(s) and/or strain(s) do you want that are not currently available in your local dispensaries?","n =  87"
"response","count","percent_responded"
"None","7","8.05"
"N/A","5","5.75"
"none","5","5.75"
"?","3","3.45"
"All","3","3.45"
"Edibles","3","3.45"
"n/a","3","3.45"
"na","3","3.45"
"Na","2","2.3"
"Not sure","2","2.3"
"Unknown","2","2.3"
"Unsure","2","2.3"
NA,"2","2.3"
"?The one they DONT have!!","1","1.15"
"0","1","1.15"
"all pax era pods","1","1.15"
"black cherry soda","1","1.15"
"Blue dream","1","1.15"
"Blue Dream","1","1.15"
"Blueberry ","1","1.15"
"Capsules, and stronger edibles","1","1.15"
"cartriges","1","1.15"
"CBD:THC of 4:1","1","1.15"
"CHRONIC","1","1.15"
"do not use dispensaries.","1","1.15"
"Flavored vape cart","1","1.15"
"Flower","1","1.15"
"Garrila glue","1","1.15"
"GG4","1","1.15"
"Harlequin ","1","1.15"
"High thc Edibles ","1","1.15"
"Higher dose capsules","1","1.15"
"I don't know","1","1.15"
"I don't know yet","1","1.15"
"I have access to the types I want","1","1.15"
"Its all there","1","1.15"
"Just keep them coming","1","1.15"
"Krypto","1","1.15"
"Local closer to my home. Medical dispensary","1","1.15"
"Look","1","1.15"
"Maui woweie","1","1.15"
"more balanced CBD/THC products","1","1.15"
"More choices","1","1.15"
"more INDICA with lower THC,i need sleep","1","1.15"
"more indicas","1","1.15"
"More vape choices","1","1.15"
"N/a","1","1.15"
"Na ","1","1.15"
"No concerns","1","1.15"
"None ","1","1.15"
"None are available in Louisiana","1","1.15"
"Release cartridge by Fairwinds (designed for PTSD/anxiety)","1","1.15"
"Unk","1","1.15"
"Unknoen","1","1.15"
"Vape cartridges were recently outlawed in my state, so having to seek elsewhere.","1","1.15"
"Vape Carts","1","1.15"
"vapes","1","1.15"
"white widow flower","1","1.15"
