"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  146  avg =  61.31"
"response","count","percent_responded"
"100","52","35.62"
"0","29","19.86"
"80","10","6.85"
"50","8","5.48"
"70","8","5.48"
"10","6","4.11"
"90","6","4.11"
"60","3","2.05"
"1","2","1.37"
"20","2","1.37"
"30","2","1.37"
"81","2","1.37"
"92","2","1.37"
"99","2","1.37"
"11","1","0.68"
"14","1","0.68"
"2","1","0.68"
"40","1","0.68"
"43","1","0.68"
"48","1","0.68"
"49","1","0.68"
"6","1","0.68"
"75","1","0.68"
"87","1","0.68"
"93","1","0.68"
"97","1","0.68"
