"q41","What features are missing from your sources of information that you would like to see included?","n =  877"
"response","count","percent_responded"
"None","108","12.31"
"none","47","5.36"
"N/A","34","3.88"
"N/a","25","2.85"
"Nothing","24","2.74"
"n/a","20","2.28"
"Not sure","19","2.17"
"None ","13","1.48"
"Na","12","1.37"
"nothing","12","1.37"
"not sure","11","1.25"
"Nothing ","10","1.14"
"na","9","1.03"
"Not sure ","7","0.8"
"prices","4","0.46"
"unsure","4","0.46"
"Deals","3","0.34"
"Idk","3","0.34"
"More strains","3","0.34"
"None I can think of","3","0.34"
"None.","3","0.34"
"Price","3","0.34"
"Can’t think of any","2","0.23"
"cost","2","0.23"
"Don’t know","2","0.23"
"I'd like a helpful newsletter from BASK.","2","0.23"
"I don't know","2","0.23"
"idk","2","0.23"
"Menus","2","0.23"
"more individual strain info","2","0.23"
"More pictures","2","0.23"
"Nada","2","0.23"
"Nih","2","0.23"
"Pictures","2","0.23"
"Prices","2","0.23"
"Recipes","2","0.23"
"Regular updates sometime","2","0.23"
"360 product pics","1","0.11"
"A better way to i.d. strains than common names used.","1","0.11"
"a list of symptoms or diseases strains are helpful for","1","0.11"
"a lot of people are unaware of the extra $50 app fee(can be waved with Mass Health). They also don't realize that medical marijuana isn't taxed.","1","0.11"
"a wishlist/shopping list, and a way to save your favorite items","1","0.11"
"aaa","1","0.11"
"Ability to get products from other states","1","0.11"
"Accept other payment forms ","1","0.11"
"Accuracy","1","0.11"
"accuracy of info","1","0.11"
"Accurate in stock items","1","0.11"
"accurate inventory at dispensaries","1","0.11"
"Accurate menus ","1","0.11"
"Accurate percentage ","1","0.11"
"Accurate percentages of more cannabinoids ","1","0.11"
"Accurate regional availability","1","0.11"
"Accurate specials","1","0.11"
"Actual information on flowers. Each of us has to experiment. ","1","0.11"
"adverse effect information","1","0.11"
"all discounts in one place","1","0.11"
"All dispensary tests results should include terpene profile. Period!","1","0.11"
"All good","1","0.11"
"Always indica sariva percentage","1","0.11"
"Anything new","1","0.11"
"apps have all types of info,features are good","1","0.11"
"assistance in obtaining mmj card","1","0.11"
"avaiability","1","0.11"
"Availability of products","1","0.11"
"Average cost between the dispensaries across the state, and tips on the best way/place to grow for myself ","1","0.11"
"Average price","1","0.11"
"Average Price","1","0.11"
"Average price ","1","0.11"
"avg cost","1","0.11"
"beginner info","1","0.11"
"Better information on strains when purchasing seeds online ","1","0.11"
"Better inventory of what local dispensary has","1","0.11"
"Better menus ","1","0.11"
"Better quality","1","0.11"
"better strain genetics, average testing % and deeper info","1","0.11"
"better strain info","1","0.11"
"Better user based feedback.","1","0.11"
"books","1","0.11"
"Breakdown Comparison of one strain to another ","1","0.11"
"Bud history","1","0.11"
"Caffeine on edibles ","1","0.11"
"can't think of any","1","0.11"
"Can't think of any","1","0.11"
"Can't think of anything","1","0.11"
"Can’t think of any ","1","0.11"
"Cannabis as food/nutrition (not ""drug"", not ""medicine"")","1","0.11"
"Cannabis lessons. Teach the public how to roll joints, dab, grow, maintain glass/pieces","1","0.11"
"Cannabis science: terpenes and cannabinoids for medicine","1","0.11"
"case studies, dosages for ailments and patient profiles","1","0.11"
"cbd","1","0.11"
"CBD related","1","0.11"
"CBD vs THC effects","1","0.11"
"Clear thc, cbd cannanoids,terpenes, heritage charts","1","0.11"
"clinical studies and more research","1","0.11"
"coming soon and upcoming specials","1","0.11"
"Coming soon products ","1","0.11"
"Complete write up of strains","1","0.11"
"Comprehensiveness -- doesn't show everything they have","1","0.11"
"Conclusive clinical trial results","1","0.11"
"Confidence in anything said.","1","0.11"
"Confidence in truthfulness","1","0.11"
"Consistency with scientific studies and analyses ","1","0.11"
"Content related directly to my market and region ","1","0.11"
"Cooking with cannabis","1","0.11"
"Cost","1","0.11"
"Costs","1","0.11"
"Costs and availability","1","0.11"
"Coupon","1","0.11"
"Crohn's specific info","1","0.11"
"crossed strains","1","0.11"
"Cultivation methods, growing media, and fertilizers/pesticides used","1","0.11"
"current information","1","0.11"
"Current Information","1","0.11"
"Current menus and prices, promotions ","1","0.11"
"Current products","1","0.11"
"Data","1","0.11"
"Deals ","1","0.11"
"Delivery ","1","0.11"
"Delivery option for leafly","1","0.11"
"Descriptions on some strains","1","0.11"
"Details of strains effects ","1","0.11"
"Details on how to identify strains","1","0.11"
"Different strains genetics ","1","0.11"
"Dispensary ","1","0.11"
"Dispensary websites/menus do not always accurately reflect availability/inventory ","1","0.11"
"do not know","1","0.11"
"Doctors', scientists', and cultivators' information regarding cannabis products, strains and how it is grown/manufactured","1","0.11"
"Don't know","1","0.11"
"don't know yet, I've just started exploring ","1","0.11"
"Don't understand the question ","1","0.11"
"dont know","1","0.11"
"Dosage help","1","0.11"
"Dosage, testing information, safety details, loyalty, strain and product tracking/dosage logging.","1","0.11"
"Dosages ","1","0.11"
"dosing for anti cancer","1","0.11"
"Double blind studies and independent polls like this one.  Thanks!","1","0.11"
"Dry and Cure info","1","0.11"
"Ease of finding strains. More medical info. ","1","0.11"
"easier correlation between dispensary menu and product reviews","1","0.11"
"Easier navigation of site on mobile ","1","0.11"
"Easier to find sources to back up claims","1","0.11"
"Easy access to comparisons ","1","0.11"
"Effects of how other patients feels ","1","0.11"
"everything","1","0.11"
"Expected new opening dates and locations","1","0.11"
"Extensive discussion of the effects of each and every active ingredient; more information on the content of those ""lesser"" ingredients for each strain.","1","0.11"
"First time I have heard about this.","1","0.11"
"Flavor","1","0.11"
"Flowering time ","1","0.11"
"Free herb","1","0.11"
"Free Money","1","0.11"
"Free samples","1","0.11"
"full online terpene and cannabinoid profiles for all strains available for purchase","1","0.11"
"Government ","1","0.11"
"Grow info and curing method if these are done well the strain science should hold true, if not, quaility assurance is gone.","1","0.11"
"Growing help","1","0.11"
"Growth stages and more indepth strain specific growing journals for all strains ","1","0.11"
"growweedeasy.com has everything i need. ","1","0.11"
"Harvesting ","1","0.11"
"have not thought about this","1","0.11"
"have not visited websites","1","0.11"
"Head Shop locator","1","0.11"
"heath benefits ","1","0.11"
"Helpful ways to afford ","1","0.11"
"highness charactoristics","1","0.11"
"home processing of flower to topicals","1","0.11"
"how it affects large groups of people","1","0.11"
"How long effects last","1","0.11"
"How long the high will last","1","0.11"
"how to enhance the healing effects of cannabis","1","0.11"
"how to grow","1","0.11"
"How to save the most money ","1","0.11"
"I'd like to see the same thc and turpene readout that comes with purchased products on the apps. ","1","0.11"
"I'd love to see a fuller chemical breakdown, more than just THC and CBD, but that's not even a big deal!","1","0.11"
"I'm not sure","1","0.11"
"I'm satisfied with the amount of features present","1","0.11"
"I'm very informed ","1","0.11"
"I am a caregiver and in 98 I did 1 yr in jail n now want to get in the cannabis biz but would need help","1","0.11"
"I am knew at this I dont know much","1","0.11"
"I can not think of anything","1","0.11"
"i don't know","1","0.11"
"I don’t know if any","1","0.11"
"I don’t know.","1","0.11"
"I don’t use outside sources so this is irrelevant. The pot I smoke is free and convenient because someone who grows it gives it to me whenever I want","1","0.11"
"I get all the info that I ask for. If my dispensary agent does not know, he will find someone who does.","1","0.11"
"I have been an RN for 35 years. I hated pot. Tried it in High School. I was extremely reluctant to try it.  I had tried multiple pain meds including narcotics but they make me sick. I became so severely depressed that I had to be hospitalized. Marijuana has not only helped my pain,it has greatly improved my mood,my activity tolerance,and my sleep.","1","0.11"
"I have no idea","1","0.11"
"I like peer reviewed scientific articles","1","0.11"
"I mainly check in with friends for information. No missing information","1","0.11"
"I never heard of any of the above until taking this survey!","1","0.11"
"I pretty much always find the information I am looking for...","1","0.11"
"I usually just go to the dispensary website about current products available.","1","0.11"
"I want to see more results from real unbiased scientific studies. We absolutely need more scientific research with and without the govt. And, it needs to be done ASAP.  ","1","0.11"
"I wish the online strain info had more feedback from medical users in addition to recreational users","1","0.11"
"I would like to see a thirds party to select flower to send to testing.","1","0.11"
"I wouldn't know what else to look for","1","0.11"
"I’m not really sure","1","0.11"
"Ideal strains for particular conditions ","1","0.11"
"idk ","1","0.11"
"If any chemicals have been used to grow product ","1","0.11"
"If edibles are available in a limited stock (i.e., the dispensary does not make their own edible products and must rely on another dispensary or distributor for products.","1","0.11"
"im not sure","1","0.11"
"In stock strains fluctuate a lot, maybe a way to track","1","0.11"
"Incoming stains? Maybe something to look forward to. ","1","0.11"
"information about other cannabinoids ","1","0.11"
"Information on breastfeeding/pregnancy","1","0.11"
"ingredients","1","0.11"
"ingredients in everything! including papers on pre-rolls, which can have corn and gluten in them. Severe food allergies. Also, list pesticide and chemicals used on the plants. The use of non organic practices must be transparent, and there is also a concern with allergies to these chemicals.","1","0.11"
"INSA isn’t included as a source on Leafly","1","0.11"
"Insa needs to put more info on menus","1","0.11"
"Jo","1","0.11"
"Job information ","1","0.11"
"just looking","1","0.11"
"Just starting out so I don’t know what is missing.","1","0.11"
"Latest dispensary list","1","0.11"
"Leafly covers my needs very well","1","0.11"
"Legitimate pictures, the ones on Leafly are uploaded by anyone and could be any strain. Detailed description of effects","1","0.11"
"less emphasis on strain name and more emphasis and transparency re terpene profile","1","0.11"
"Let me buy direct from them ","1","0.11"
"level of psychoactiveness","1","0.11"
"Lists of local doctors","1","0.11"
"Local Cannabis news","1","0.11"
"Local caregivers ancillary businesses social clubs community host agreements ","1","0.11"
"local city by city news","1","0.11"
"Local grower information to keep up with new strains.","1","0.11"
"Local Growers not just Dispensary","1","0.11"
"Local prices","1","0.11"
"locally specific","1","0.11"
"Location of strain im looking for","1","0.11"
"Log journal entries","1","0.11"
"Long-term side effects if any","1","0.11"
"Lower weed prices","1","0.11"
"Massachusetts Delivery Services","1","0.11"
"medical applications of strains","1","0.11"
"Medical benefits ","1","0.11"
"medical benefits of each strain","1","0.11"
"Medical indications and contraindications","1","0.11"
"medical info and attributes, chemical breakdown of strain","1","0.11"
"Medical training in cannabis dosing and efficacy","1","0.11"
"Menu and sometimes prices","1","0.11"
"More about wellness","1","0.11"
"More accurate lab results and higher TAC","1","0.11"
"More accurate search for strains, lifestyle stories, etc...","1","0.11"
"More ailments listed to pair with a strain. ","1","0.11"
"More articles on small time growing for your windows","1","0.11"
"More basic information on how to grow","1","0.11"
"More cannabinoid detail","1","0.11"
"More clinical study links","1","0.11"
"More comprehensive reviews, locations to obtain","1","0.11"
"More concrete scientific information. ","1","0.11"
"more consistent information.  sometimes information about a strain can vary greatly depending on what website you look at.","1","0.11"
"more consumer input","1","0.11"
"More creadable DYI","1","0.11"
"more data","1","0.11"
"More descriptions of medical benefits and side effects","1","0.11"
"More detail on terpenes, genomics, science","1","0.11"
"More detailed info for new consumers","1","0.11"
"more detailed information on the effects of all the different strains","1","0.11"
"More detailed strain information ","1","0.11"
"more easy to read ingredients ","1","0.11"
"More explanation about the product. Web pages are very vague","1","0.11"
"more exposure on twitter","1","0.11"
"More fear nformation on benefits of cannabis","1","0.11"
"more grow tips","1","0.11"
"More impartial science","1","0.11"
"More info about dosing","1","0.11"
"More info on CBD","1","0.11"
"More info on concentrates","1","0.11"
"more info on edibles","1","0.11"
"More info on extraction processes ","1","0.11"
"more info on growing specific strains","1","0.11"
"More info on how different cannabinoids interact with one another.","1","0.11"
"More info on individual terpenes","1","0.11"
"More info on tinctures and edible use ","1","0.11"
"more info on what strains work best for different ailments..and more info of you are sober","1","0.11"
"more info on what the strain is good for (anxiety, depression, etc)","1","0.11"
"More information about how the ECS really works and how different strain profiles will interact with it.","1","0.11"
"More information on becoming more politically involved in the legalization process.","1","0.11"
"more information on cost","1","0.11"
"More information on supporting cannabinoids and terpenes. Most seem to focus on THC content, and according to a recent study THC (like opiates) only distracts you from pain. ","1","0.11"
"More information on what works best for specific medical issues/diagnosis from survey of other patients","1","0.11"
"More local resources","1","0.11"
"More local reviews of product ","1","0.11"
"More local search results","1","0.11"
"More medical info. Like the basic fact that CBD can interact with other drugs and meds. And how chemo patients have got to check with someone they know knows!","1","0.11"
"More news articles","1","0.11"
"More of the strains I like.","1","0.11"
"More personal reviews ","1","0.11"
"More personal reviews and a legit dr help section with more factual medicinal based articles","1","0.11"
"More personal stories from patients about their experiences treating certain ailments with certain products","1","0.11"
"More pictures ","1","0.11"
"More research","1","0.11"
"More Research","1","0.11"
"More samples","1","0.11"
"More scientific info regarding terpenoids ","1","0.11"
"More scientific literature, reliable sources ","1","0.11"
"more scientific sources","1","0.11"
"More specials listed menu  updates more frequently ","1","0.11"
"More specific information about which products work best for inflammation and anxiety ","1","0.11"
"More specific instructions on dosage","1","0.11"
"More specifics of what products are testing at","1","0.11"
"more strain specific indications (ie, Best Anxiety strains, etc)","1","0.11"
"More strains from my area","1","0.11"
"more studies and scientific findings and information on medical use of marijuana ","1","0.11"
"More substantial evidenced-based research","1","0.11"
"more terpene info","1","0.11"
"More up-to-date research on the enndocannabanoid system; more diesease/theraputic specific information (e.g., x, y, z strains are good at treating depression becuase of this specifc categoristic)","1","0.11"
"More updated info at times","1","0.11"
"More updated information","1","0.11"
"More updated menu's","1","0.11"
"More user reviews","1","0.11"
"More workshops on site of dispensaries. Detailed in-depth information is often missing. I find a lot of articles that are dumbed down. That’s helpful when I was new but I’d like to learn more in-depth info that seems to lack. ","1","0.11"
"n.a","1","0.11"
"N.a","1","0.11"
"N/a I don't read much on strain information","1","0.11"
"n\a","1","0.11"
"Na ","1","0.11"
"NA ","1","0.11"
"No idea","1","0.11"
"No one","1","0.11"
"Non","1","0.11"
"non that I can think of","1","0.11"
"NONE","1","0.11"
"None - again, this question shouldn't be required. I don't have a bud tender or whatever either. I really don't dig into it that much. ","1","0.11"
"none at the moment ","1","0.11"
"None I know of ","1","0.11"
"None really ","1","0.11"
"None really; Leafly reviews are pretty thorough","1","0.11"
"None that I cam currently think of.","1","0.11"
"None that I can tell","1","0.11"
"None that I can think of.","1","0.11"
"None.  ","1","0.11"
"None.  I rely on the advice of BASK Fairhaven.","1","0.11"
"Not 100% sure on that one at the moment ","1","0.11"
"not all strains present","1","0.11"
"Not applicable","1","0.11"
"Not applicable ","1","0.11"
"not shure","1","0.11"
"Not Sure","1","0.11"
"Not sure.","1","0.11"
"not sure. ","1","0.11"
"Not sure. ","1","0.11"
"Not sure?!?!? ","1","0.11"
"nothing i can think of right now","1","0.11"
"Nothing really.","1","0.11"
"Nothing, I’m able find what I’m searching for ","1","0.11"
"Nothing. I find it somehow! ","1","0.11"
"Nothing. They tell you everything you need to know","1","0.11"
"Nutrient info","1","0.11"
"Often times then not, thc % and strain background info is not always available","1","0.11"
"online ordering","1","0.11"
"online ordering, but that's long to come","1","0.11"
"Online store","1","0.11"
"Order online","1","0.11"
"Organic?","1","0.11"
"Other cannabinoids! CBG, THC-V","1","0.11"
"Pain experts' recommendations","1","0.11"
"Peer review","1","0.11"
"Peer reviewed scientific articles ","1","0.11"
"Peer Reviewed studies","1","0.11"
"people pieces","1","0.11"
"Percentage ","1","0.11"
"Personal experience","1","0.11"
"pesticides and fertilizers used on crop","1","0.11"
"Pet-safe products?","1","0.11"
"photos of plants","1","0.11"
"Pictures of fully mature plants, with the look of the bud","1","0.11"
"Places to buy clones and seeds","1","0.11"
"Political commentary and activism","1","0.11"
"popular or not","1","0.11"
"Popularity ","1","0.11"
"Potency","1","0.11"
"Price ","1","0.11"
"Price and lineage","1","0.11"
"Price comparison ","1","0.11"
"Price comparison feature","1","0.11"
"Price comparison of area distributers, or Specials comparison in live time","1","0.11"
"Price comparisons","1","0.11"
"Price range","1","0.11"
"Price ranges","1","0.11"
"price reduction like Colorado ","1","0.11"
"Prices ","1","0.11"
"Prices (some have it some don’t)","1","0.11"
"Prices and daily updated menus","1","0.11"
"Prices for different areas ","1","0.11"
"Prices, updated menu, reserve ahead options","1","0.11"
"Printable Strain Labels (ala CannaSOS)","1","0.11"
"Probably a lot, to be honest.","1","0.11"
"Product prices at local dispensaries","1","0.11"
"Product quality ","1","0.11"
"Quality","1","0.11"
"Quality control information","1","0.11"
"Quick reference print out of strains and properties","1","0.11"
"Real news on industry ","1","0.11"
"real unbiased inbfo","1","0.11"
"Recent research implications ","1","0.11"
"recipes","1","0.11"
"recommended dosages","1","0.11"
"Recreational use ","1","0.11"
"Recycling programs for small plastic containers. Not just bags. More distillate refills options for carts.","1","0.11"
"Regional information that is consistent.  What happens in CA isn't the same as CO, or MA.","1","0.11"
"related diet","1","0.11"
"Reliable menus","1","0.11"
"Reliable sources and proven testing on products  ","1","0.11"
"research data","1","0.11"
"Research, stats","1","0.11"
"reviews","1","0.11"
"reviews of the strains, explanations of THC levels","1","0.11"
"Sativa and indica ratios","1","0.11"
"Scholarly articles/reputable cited sources","1","0.11"
"Scientific information ","1","0.11"
"Scientific studies like this one that support positive cannibis research. ","1","0.11"
"searchability, dosing guidelines, and strain or chemical profile recommendations","1","0.11"
"Secret shopper testing lab values on dispensary products.","1","0.11"
"Seed / Clone purchase info","1","0.11"
"Seed/clone availability","1","0.11"
"seed/plant  availability","1","0.11"
"Select bud by region so i don't get teased with Cali weed","1","0.11"
"Sheets of what it does and how much it is. And a check list for what you need it for and what would be best for you","1","0.11"
"Side effects","1","0.11"
"side effects ","1","0.11"
"Skip","1","0.11"
"smoke shop locator","1","0.11"
"So far, always able to find answers to questions from 1 source or another.","1","0.11"
"Some dispensaries not listed, not updated menus ","1","0.11"
"Some strains are missing ","1","0.11"
"some strains my dispensary have has no info in leafly","1","0.11"
"Sometimes lacks details of particular strains for places.","1","0.11"
"Sometimes menu content is missing THC details ","1","0.11"
"specific reviews of clinics' products","1","0.11"
"strain info","1","0.11"
"Strain names and tests","1","0.11"
"Strain type by ratio","1","0.11"
"studies","1","0.11"
"Studies into terpenes","1","0.11"
"Suggested dosages for certain conditions based on previous patient experience","1","0.11"
"Symptoms relieved by strain","1","0.11"
"Symptoms treated","1","0.11"
"terp tests","1","0.11"
"Terpene % ","1","0.11"
"Terpene data","1","0.11"
"terpene info","1","0.11"
"Terpene info","1","0.11"
"Terpene information","1","0.11"
"Terpene Profile!!! Cannabinoids profile.","1","0.11"
"terpene profiles","1","0.11"
"Terpene Profiles ","1","0.11"
"Terpene profiles and heritage / breeder information","1","0.11"
"Terpene results","1","0.11"
"Terpene testing","1","0.11"
"Terpene/flavor profiles","1","0.11"
"terpenes","1","0.11"
"Terpenoid profiles","1","0.11"
"Terprnes","1","0.11"
"Testament","1","0.11"
"Testing criteria should be well known","1","0.11"
"Testing for pgr","1","0.11"
