"q5","What is the primary health condition for which you find cannabis to be helpful or most impactful? Please select one.","n =  1292"
"response","count","percent_responded"
"Chronic pain","442","34.21"
"Anxiety","269","20.82"
"Depression/mood","151","11.69"
"Other (please specify)","116","8.98"
"Insomnia","78","6.04"
"Post-Traumatic Stress Disorder (PTSD)","77","5.96"
"Arthritis","40","3.1"
"Inflammatory Bowel Disease (IBD)","33","2.55"
"Not using cannabis for a health condition","33","2.55"
"Nausea/vomiting","16","1.24"
"Attention Deficit/Hyperactivity Disorder (ADHD)","14","1.08"
"Multiple Sclerosis","12","0.93"
"Epilipsey","8","0.62"
"HIV/AIDS","2","0.15"
"End of life care","1","0.08"
