"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  124"
"response","count","percent_responded"
"Burn Pits","60","48.39"
"I was not exposed to any of these","37","29.84"
"Specific Environmental Hazards","29","23.39"
"Asbestos","22","17.74"
"Gulf war illness","13","10.48"
"Radiation Exposure","13","10.48"
"Other (please specify)","6","4.84"
"Gulf war illness in Afghanistan","5","4.03"
"contaminated drinking water at camp Lejelune","4","3.23"
"Agent Orange","2","1.61"
"Children having birth defects like Spina Bifida","1","0.81"
