"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  284"
"response","count","percent_responded"
"Anxiety","187","65.85"
"Chronic pain","179","63.03"
"Depression","174","61.27"
"Posttraumatic stress disorder (PTSD)","139","48.94"
"Insomnia","90","31.69"
"Arthritis","80","28.17"
"Gastrointestinal/digestive system disorders","31","10.92"
"Substance abuse/addiction","31","10.92"
"Attention deficit/hyperactivity disorder (ADHD)","29","10.21"
"Other (please specify)","28","9.86"
"Hypertension","20","7.04"
"Cancer","17","5.99"
"Bipolar/manic depression","15","5.28"
"Inflammatory bowel disease (IBD)","15","5.28"
"Fibromyalgia/myositis","11","3.87"
"Allergies","10","3.52"
"Respiratory problems","9","3.17"
"Cardiovascular disease","6","2.11"
"Reflux esophagitis","6","2.11"
"Diabetes","5","1.76"
"Eczema","4","1.41"
"Epilepsy","3","1.06"
"Obesity","3","1.06"
"HIV/AIDS","2","0.7"
"Multiple sclerosis","2","0.7"
"Alzheimer's","1","0.35"
