"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  185"
"response","count","percent_responded"
"Burn Pits","72","38.92"
"I was not exposed to any of these","51","27.57"
"Asbestos","42","22.7"
"Specific Environmental Hazards","38","20.54"
"Gulf war illness","24","12.97"
"Agent Orange","22","11.89"
"contaminated drinking water at camp Lejelune","15","8.11"
"Other (please specify)","14","7.57"
"Radiation Exposure","13","7.03"
"Gulf war illness in Afghanistan","6","3.24"
"Contact with mustard gas or lewisite","5","2.7"
"Children having birth defects like Spina Bifida","2","1.08"
