"id","Strain 1","Strain 2","Strain 3"
11148895510,"White Widow","Bruce Banner 4","OG kush "
11111801761,"Brownie Scout ","Walker Kush","French Toast "
10950506255,"Lemon Skunk","Swamp Thing","Super Skunk"
10937584160,"Cw cbd hemp oil ","Smoking flower Indica","Thc shatter"
10633844023,"Gorilla glue","Bio diesel ","Sour diesel"
10615607693,"Wedding cake ","Jilly bean ","Scott’s og"
10615475788,"Pineapple Express","Kush","Skunk "
10615382686,"Las Vegas Buba Kush","Girl Scout Cookies","Lemon Jeffery"
10585127234,"707 truthband","Cookies n cream","Kosher kush"
10572726875,"Haze","Kush","Blueberry Cheese"
10552807575,"Deathstar","the Wife","Chem Dank x slymerwood"
10544586314,"Gorilla Glue","Skywalker OG","Indict Don Hybrids"
10542229138,"Green Crack ","Trainwreck","Warlock "
10492240590,"Cbd","",""
10444236346,"Bio diesel","Gorilla glue","Grape god"
10416058133,"hybrid/sativa","hybrid/indaca","sativa"
10390735914,"Gorilla glue","Blue dream","Chem dog"
10389539123,"Lemon Jeffrey","Cheesecake ","Sour Diesel"
10384460168,"Gg4","CSC","Lotus"
10372191516,"Blue Dream","Pineapple Express","Platinum Bubba"
10361398461,"N/a","",""
10349445006,"high CBD","",""
10332089931,"Killer Queen","Sour Diesel","Lemon Lime Punch"
10323152506,"Pure CBD Oil with Hemp Seed Oil","Pure CBD Oil with Hemp Seed Oil","Pure CBD Oil with Hemp Seed Oil"
10311833804,"GG4","Tangie 2:1","Purple Lamborghini "
10308744405,"2:01","any indica","any hybrid"
10304447243,"GDP","3 Gorillas ","Moonrise "
10304363791,"dr. grinspoon","sour diesel","gorilla glue"
10291978182,"Sour diesel","Blue dream","God green crack"
10289128872,"Northern lights","Jack herer","Green crack"
10281129055,"Hybrid ","Sativa","Indica"
10273619577,"perla","gemma","balder"
10263513014,"Golden Goat","Blue Dream","Gorrilla Glue"
10263390124,"unknown","unknown","unkown"
10260573889,"Blue dream","Gdp","The evelyne"
10260087945,"? I don’t know much about strains","?","?"
10248414752,"Indica","Sativa","Kush"
10248394143,"Don’t know","",""
10247119003,"Deep chunkolate","Black triangle kush","Blue dream"
10246399634,"Skywalker","Granddaddy Purp","Blue Dream"
10244871164,"Indica","Sativa",""
10243813684,"I don't know","just learning about cbd",""
10240299203,"Not sure what’s in my tincture ","Not sure what’s in my tincture ","Not sure what’s in my tincture "
10239531679,"CBD","THC",""
10236223392,"Strawberry Diesel","Gorilla Glue #4","Harlequin"
10235638327,"Indica","Sativa",""
10234227563,"Wappa","Sage 21","Kush 4"
10233820864,"Monkey Blood","Mango Kush","Mandarin Sunset"
10233709696,"Harmony rose","Tsunami trainwreck ",""
10233663249,"indica","",""
10233531303,"N/A","",""
10233496428,"Sin Mint","Cornbread","Sour Diesel"
10233094381,"Pennywise","Green Crack","White Widow"
10232773585,"Indica","",""
10232503546,"Obama Kush (high pain)","Sweet Island Skunk (low pain/mood lifter)","AcDc (Fibro maintenance)"
10232232344,"Indica","",""
10231913670,"CBD","CBD indica hybrid","Indica"
10231678479,"Indica","50/50","Sativa"
10231654493,"Star cookie","Star killer","Chocolate oranges"
10231434152,"Catatonic","White Widow","Harliquin"
10231412715,"Girl Scout cookie","The hog","Wappa"
10231064348,"White Widow ","ACDC","CBD"
10230754508,"CBD oil","THC oil ( received in capsules)","Salves"
10230701658,"OG Kush","N. Lights","Blueberry Haze"
10230603790,"any Indica","",""
10230506284,"Indica","Sativa",""
10230246660,"CBD:THC","INDICA","SATIVA"
10230236662,"Jilly Bean","Sour Diesel ","Lambs Bread"
10230167859,"Sativa","Not sure","Not sure"
10229975238,"Lemon Squeeze","Albert Walker","Gorilla Glue"
10229949182,"Sour diesel","Purple eater","Corn mash"
10229872745,"9 lb. Hammer","",""
10229779148,"Strawberry Cheesecake","Gods Lemon Skunk","Pineapple Express"
10229649057,"Golden Goat","Blue Dream","Grape Ape"
10229631055,"Hybrid ","Stavia",""
10229590537,"Pineapple Express","Biscotti Kush","Lemon Haze"
10229491086,"Cornbread","Ace of Spades","Chronic Thunder"
10229459581,"Irish grown, strain unknown","",""
10229449766,"Indica","",""
10229426798,"Katsu Bubba Kush","Gorilla Glue","Cookie Pebbles"
10229403521,"Whatever's available","",""
10229359369,"Medical Mass CBD","Grand daddy Purple","Blue Dream"
10229357731,"Ilera Dream","Ilera Shine",NA
10229350099,"Any I get my hands on","",""
10229334562,"? Use 3/4 CBD to 1/4 THC ","Full THC for high pain","1:1 CBD:THC "
10229334166,"Harlequin","Purple Haze","3rd Gen Red Hair"
10229306258,"Sativa","Kush","No"
10229304627,"Indica","Sativa",""
