"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  98"
"response","count","percent_responded"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","70","71.43"
"Smoke flower","64","65.31"
"Vape cartridges","60","61.22"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","41","41.84"
"Tinctures","33","33.67"
"Vape flower","30","30.61"
"Salves/topicals","25","25.51"
"Capsules","17","17.35"
"Transdermal patches","12","12.24"
"Suppositories","5","5.1"
"Other (please specify)","1","1.02"
