"q14","What are the effects of your pain? (Please select all that apply)","n =  137"
"response","count","percent_responded"
"Enjoyment of life","118","86.13"
"Physical activity","118","86.13"
"Energy level","105","76.64"
"Sleep","99","72.26"
"Mobility","96","70.07"
"Mood","91","66.42"
"Household chores","90","65.69"
"Depression","83","60.58"
"Relationships with others","72","52.55"
"Concentration","68","49.64"
"Anxiety","65","47.45"
"Sexual functioning","63","45.99"
"Self esteem","59","43.07"
"Memory","42","30.66"
"Personal care","33","24.09"
"Appetite","26","18.98"
