"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  280"
"response","count","percent_responded"
"Burn Pits","92","32.86"
"I was not exposed to any of these","91","32.5"
"Asbestos","65","23.21"
"Specific Environmental Hazards","45","16.07"
"Agent Orange","29","10.36"
"Radiation Exposure","25","8.93"
"Gulf war illness","23","8.21"
"contaminated drinking water at camp Lejelune","22","7.86"
"Other (please specify)","17","6.07"
"Gulf war illness in Afghanistan","9","3.21"
"Children having birth defects like Spina Bifida","5","1.79"
"Contact with mustard gas or lewisite","4","1.43"
"Project 112/SHAD","1","0.36"
