"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  320"
"response","count","percent_responded"
"Chronic pain","226","70.62"
"Anxiety","221","69.06"
"Depression","194","60.62"
"Posttraumatic stress disorder (PTSD)","190","59.38"
"Insomnia","173","54.06"
"Arthritis","120","37.5"
"Gastrointestinal/digestive system disorders","54","16.88"
"Hypertension","36","11.25"
"Attention deficit/hyperactivity disorder (ADHD)","35","10.94"
"Other (please specify)","31","9.69"
"Substance abuse/addiction","30","9.38"
"Fibromyalgia/myositis","27","8.44"
"Bipolar/manic depression","22","6.88"
"Inflammatory bowel disease (IBD)","20","6.25"
"Reflux esophagitis","19","5.94"
"Diabetes","15","4.69"
"Allergies","12","3.75"
"Respiratory problems","12","3.75"
"Cancer","11","3.44"
"Obesity","8","2.5"
"Cardiovascular disease","7","2.19"
"Eczema","6","1.88"
"HIV/AIDS","5","1.56"
"Multiple sclerosis","4","1.25"
"Epilepsy","3","0.94"
"Alzheimer's","2","0.62"
"Autism","1","0.31"
