"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  217"
"response","count","percent_responded"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","136","62.67"
"Smoke flower","129","59.45"
"Vape cartridges","98","45.16"
"Tinctures","85","39.17"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","74","34.1"
"Salves/topicals","59","27.19"
"Vape flower","55","25.35"
"Capsules","42","19.35"
"Transdermal patches","21","9.68"
"Suppositories","13","5.99"
"Other (please specify)","7","3.23"
