"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  98"
"response","count","percent_responded"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","58","59.18"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","51","52.04"
"Anti-inflammatories","44","44.9"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","40","40.82"
"Muscle relaxants","40","40.82"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","27","27.55"
"Statins (e.g. Lipitor, Crestor)","26","26.53"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","24","24.49"
"Antihypertensives","22","22.45"
"Other (please specify)","20","20.41"
"Steroids, including steroid creams","19","19.39"
"Antimigraine","15","15.31"
"Sedatives/hypnotics","12","12.24"
"Beta Blockers","11","11.22"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","11","11.22"
"Antipsychotics (e.g. Abilify, Seroquel)","10","10.2"
"Proton pump inhibitors","9","9.18"
"Insulin","8","8.16"
"Barbiturates (e.g. Floricet)","5","5.1"
"Antiemetics","4","4.08"
"Hormone replacement therapy (HRT)","3","3.06"
"I don’t take any prescription medications","3","3.06"
