"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  151"
"response","count","percent_responded"
"Money","87","57.62"
"Access to the right products","44","29.14"
"Workplace testing or other policies","42","27.81"
"Place to consume cannabis","38","25.17"
"Stigma","36","23.84"
"No barriers","29","19.21"
"Time required to get medical card or obtain products","22","14.57"
"Lack of knowledge","16","10.6"
"Other (please specify)","6","3.97"
"Previous bad experience","3","1.99"
