"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  105  avg =  123.819"
"response","count","percent_responded"
"0","53","50.48"
"200","5","4.76"
"50","5","4.76"
"10","4","3.81"
"25","4","3.81"
"150","3","2.86"
"250","3","2.86"
"300","3","2.86"
"400","3","2.86"
"500","3","2.86"
"1","2","1.9"
"20","2","1.9"
"600","2","1.9"
"100","1","0.95"
"140","1","0.95"
"1500","1","0.95"
"16","1","0.95"
"2000","1","0.95"
"24","1","0.95"
"30","1","0.95"
"35","1","0.95"
"4","1","0.95"
"40","1","0.95"
"700","1","0.95"
"80","1","0.95"
"900","1","0.95"
