"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  242"
"response","count","percent_responded"
"Some college, no degree","67","27.69"
"Bachelors degree","57","23.55"
"Masters degree","51","21.07"
"Associate degree","29","11.98"
"High school degree or equivalent (GED)","18","7.44"
"Professional degree (MD, JD, DDS, DVM)","14","5.79"
"Doctorate (Ph.D., EdD, etc)","4","1.65"
"Less than high school diploma","1","0.41"
"Prefer not to answer","1","0.41"
