"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  101  avg =  79.168"
"response","count","percent_responded"
"100","62","61.39"
"0","11","10.89"
"90","5","4.95"
"50","3","2.97"
"30","2","1.98"
"5","2","1.98"
"98","2","1.98"
"26","1","0.99"
"40","1","0.99"
"42","1","0.99"
"45","1","0.99"
"49","1","0.99"
"53","1","0.99"
"70","1","0.99"
"75","1","0.99"
"80","1","0.99"
"84","1","0.99"
"85","1","0.99"
"88","1","0.99"
"96","1","0.99"
"97","1","0.99"
