"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  33"
"response","count","percent_responded"
"Smoke flower","26","78.79"
"Vape cartridges","17","51.52"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","15","45.45"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","11","33.33"
"Vape flower","8","24.24"
"Tinctures","7","21.21"
"Salves/topicals","6","18.18"
"Capsules","1","3.03"
"Other (please specify)","1","3.03"
"Suppositories","1","3.03"
"Transdermal patches","1","3.03"
