"q14","What are the effects of your pain? (Please select all that apply)","n =  26"
"response","count","percent_responded"
"Physical activity","25","96.15"
"Enjoyment of life","23","88.46"
"Mobility","21","80.77"
"Mood","20","76.92"
"Sleep","19","73.08"
"Energy level","18","69.23"
"Depression","17","65.38"
"Relationships with others","17","65.38"
"Sexual functioning","16","61.54"
"Concentration","15","57.69"
"Household chores","14","53.85"
"Self esteem","14","53.85"
"Anxiety","11","42.31"
"Memory","10","38.46"
"Personal care","9","34.62"
"Appetite","6","23.08"
