"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  391"
"response","count","percent_responded"
"Money to purchase products","208","53.2"
"Access to the right products","163","41.69"
"Money required to get medical card","130","33.25"
"Stigma","122","31.2"
"Owning a firearm","113","28.9"
"Workplace testing or other policies","87","22.25"
"Place to consume cannabis","79","20.2"
"Lack of knowledge","54","13.81"
"Other (please specify)","38","9.72"
"Previous bad experience","9","2.3"
