"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  133  avg =  66.662"
"response","count","percent_responded"
"100","68","51.13"
"0","19","14.29"
"10","4","3.01"
"50","4","3.01"
"75","4","3.01"
"1","3","2.26"
"30","3","2.26"
"90","3","2.26"
"4","2","1.5"
"15","1","0.75"
"17","1","0.75"
"18","1","0.75"
"2","1","0.75"
"23","1","0.75"
"25","1","0.75"
"3","1","0.75"
"37","1","0.75"
"42","1","0.75"
"43","1","0.75"
"49","1","0.75"
"51","1","0.75"
"6","1","0.75"
"80","1","0.75"
"82","1","0.75"
"84","1","0.75"
"89","1","0.75"
"9","1","0.75"
"93","1","0.75"
"94","1","0.75"
"96","1","0.75"
"98","1","0.75"
"99","1","0.75"
