"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  320"
"response","count","percent_responded"
"Smoke flower","224","70"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","194","60.62"
"Vape cartridges","166","51.88"
"Tinctures","118","36.88"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","114","35.62"
"Vape flower","92","28.75"
"Salves/topicals","78","24.38"
"Capsules","46","14.37"
"Transdermal patches","26","8.12"
"Suppositories","16","5"
"Other (please specify)","8","2.5"
