"q14","What are the effects of your pain? (Please select all that apply)","n =  28"
"response","count","percent_responded"
"Physical activity","24","85.71"
"Enjoyment of life","23","82.14"
"Household chores","21","75"
"Sleep","21","75"
"Energy level","20","71.43"
"Mobility","20","71.43"
"Anxiety","19","67.86"
"Depression","19","67.86"
"Mood","19","67.86"
"Concentration","16","57.14"
"Relationships with others","16","57.14"
"Sexual functioning","16","57.14"
"Memory","12","42.86"
"Self esteem","11","39.29"
"Appetite","9","32.14"
"Personal care","7","25"
