"q14","What are the effects of your pain? (Please select all that apply)","n =  11"
"response","count","percent_responded"
"Physical activity","10","90.91"
"Energy level","7","63.64"
"Enjoyment of life","7","63.64"
"Household chores","7","63.64"
"Sleep","7","63.64"
"Depression","6","54.55"
"Mobility","6","54.55"
"Mood","5","45.45"
"Sexual functioning","5","45.45"
"Anxiety","4","36.36"
"Self esteem","4","36.36"
"Appetite","3","27.27"
"Concentration","3","27.27"
"Relationships with others","3","27.27"
"Personal care","1","9.09"
