"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  104"
"response","count","percent_responded"
"Burn Pits","38","36.54"
"Asbestos","31","29.81"
"I was not exposed to any of these","24","23.08"
"Specific Environmental Hazards","22","21.15"
"Agent Orange","15","14.42"
"Gulf war illness","12","11.54"
"Other (please specify)","12","11.54"
"contaminated drinking water at camp Lejelune","7","6.73"
"Radiation Exposure","5","4.81"
"Contact with mustard gas or lewisite","3","2.88"
"Children having birth defects like Spina Bifida","2","1.92"
"Gulf war illness in Afghanistan","2","1.92"
