"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  333"
"response","count","percent_responded"
"Chronic pain","129","38.74"
"Posttraumatic stress disorder (PTSD)","79","23.72"
"Anxiety","25","7.51"
"Depression","25","7.51"
"Insomnia","13","3.9"
"Bipolar/manic depression","8","2.4"
"Cancer","7","2.1"
"Arthritis","6","1.8"
"Cardiovascular disease","6","1.8"
"Diabetes","5","1.5"
"Respiratory problems","5","1.5"
"Fibromyalgia/myositis","4","1.2"
"Gastrointestinal/digestive system disorders","4","1.2"
"Multiple sclerosis","4","1.2"
"Substance abuse/addiction","3","0.9"
"Hypertension","2","0.6"
"Obesity","2","0.6"
"Reflux esophagitis","2","0.6"
"Allergies","1","0.3"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.3"
"HIV/AIDS","1","0.3"
"Inflammatory bowel disease (IBD)","1","0.3"
