"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  126"
"response","count","percent_responded"
"Anxiety","92","73.02"
"Chronic pain","85","67.46"
"Depression","70","55.56"
"Posttraumatic stress disorder (PTSD)","61","48.41"
"Insomnia","48","38.1"
"Arthritis","38","30.16"
"Allergies","25","19.84"
"Obesity","25","19.84"
"Attention deficit/hyperactivity disorder (ADHD)","22","17.46"
"Gastrointestinal/digestive system disorders","22","17.46"
"Hypertension","21","16.67"
"Reflux esophagitis","17","13.49"
"Substance abuse/addiction","17","13.49"
"Other (please specify)","14","11.11"
"Respiratory problems","13","10.32"
"Inflammatory bowel disease (IBD)","12","9.52"
"Bipolar/manic depression","7","5.56"
"Diabetes","7","5.56"
"Eczema","6","4.76"
"Cancer","5","3.97"
"Cardiovascular disease","3","2.38"
"Fibromyalgia/myositis","3","2.38"
"Multiple sclerosis","2","1.59"
"HIV/AIDS","1","0.79"
