"q57","What product(s) and/or strain(s) do you want that are not currently available in your local dispensaries?","n =  299"
"response","count","percent_responded"
"none","20","6.69"
"N/A","17","5.69"
"None","17","5.69"
"?","11","3.68"
"n/a","11","3.68"
"Na","10","3.34"
"All","6","2.01"
"na","6","2.01"
"Not sure","6","2.01"
"0","5","1.67"
"Edibles","4","1.34"
NA,"4","1.34"
"don't know","3","1"
"unknown","3","1"
"Unknown","3","1"
"Unknown ","3","1"
"edibles","2","0.67"
"Flower","2","0.67"
"No answer","2","0.67"
"None ","2","0.67"
"White Rino","2","0.67"
"  x","1","0.33"
" not sure","1","0.33"
".?","1","0.33"
"?The one they DONT have!!","1","0.33"
"1 gram vape cartridges ","1","0.33"
"a","1","0.33"
"AC DC","1","0.33"
"AC/dc","1","0.33"
"ACDC","1","0.33"
"African Black ","1","0.33"
"all","1","0.33"
"ALL","1","0.33"
"all low anlexty strains","1","0.33"
"All of them ","1","0.33"
"All of them... I no longer can afford to buy any :/","1","0.33"
"All the ones recommended for PTSD","1","0.33"
"All.  The state of Florida is a for profit  state instead of patient care ","1","0.33"
"Alot","1","0.33"
"Anxiety, depression, headache and pain relief ","1","0.33"
"Any","1","0.33"
"Any ","1","0.33"
"Any - Virginia can't get it's act together","1","0.33"
"Any high grade sativa","1","0.33"
"banana kush flower","1","0.33"
"BioChem","1","0.33"
"black cherry soda","1","0.33"
"Blackberry Kush","1","0.33"
"Blue Dream","1","0.33"
"blue kush","1","0.33"
"blue sunshine","1","0.33"
"Blueberry stavia","1","0.33"
"brownies","1","0.33"
"Bruce Banners Ghost","1","0.33"
"Can't use them to costly","1","0.33"
"Candy Kush","1","0.33"
"Cannagars","1","0.33"
"Capsules at all dispenseries","1","0.33"
"cbd","1","0.33"
"Cbd","1","0.33"
"CBD candy","1","0.33"
"CBD/THC 1:1","1","0.33"
"Charlotte's Web, Rick Simpson Oil ","1","0.33"
"Chocolate candy bars ","1","0.33"
"CHRONIC","1","0.33"
"Clean organic cannabis","1","0.33"
"Combat cookies","1","0.33"
"Devil’s Cookies","1","0.33"
"do not use dispensaries.","1","0.33"
"Don't know","1","0.33"
"Don’t know","1","0.33"
"Don’t know ","1","0.33"
"drinks","1","0.33"
"Drinks","1","0.33"
"Dude, where's my bike?","1","0.33"
"durban poison","1","0.33"
"Edibles ","1","0.33"
"Flavored vape cart","1","0.33"
"flower","1","0.33"
"Flower of any kind.","1","0.33"
"FrankenPuna ","1","0.33"
"GG4","1","0.33"
"Girl Scout Cookie, Blue Dream, Jack Kush","1","0.33"
"Good reliable edibles","1","0.33"
"got no local dispensery","1","0.33"
"Grape God","1","0.33"
"Greater mixes of CBG:THC ratios","1","0.33"
"Grow my own and edibles","1","0.33"
"gsc","1","0.33"
"Guava IX","1","0.33"
"Harlequin ","1","0.33"
"Hash (70's style)","1","0.33"
"Hash oils","1","0.33"
"hashish","1","0.33"
"Hawaiian ","1","0.33"
"Hawaiian or Sensamellian","1","0.33"
"Hemlock","1","0.33"
"High cbd ","1","0.33"
"High THC strains over 30% and heavily colored strains like purples and reds","1","0.33"
"Higher CBD strains","1","0.33"
"hybrid capsules","1","0.33"
"i d k","1","0.33"
"i do not know","1","0.33"
"I don’t go out in public much don’t know","1","0.33"
"idk","1","0.33"
"indica","1","0.33"
"Indica ","1","0.33"
"Indica cream","1","0.33"
"Inhaler","1","0.33"
"It to be legal - period","1","0.33"
"Its all there","1","0.33"
"Jack herer","1","0.33"
"Jack Herer ","1","0.33"
"Just keep them coming","1","0.33"
"Kosher Kush","1","0.33"
"Krypto","1","0.33"
"Kush","1","0.33"
"Lambs breath, landrace strains","1","0.33"
"Lemon Jefferey","1","0.33"
"like to have a 1:1 Thc:Cbd which is often not available","1","0.33"
"Local closer to my home. Medical dispensary","1","0.33"
"low thc  high  CBD","1","0.33"
"lower cost","1","0.33"
"Maui woweie","1","0.33"
"more balanced CBD/THC products","1","0.33"
"More choices","1","0.33"
"More edibles","1","0.33"
"More flower of any strain to cook with","1","0.33"
"more INDICA with lower THC,i need sleep","1","0.33"
"more rosin","1","0.33"
"more varety of flower,pre-rolls vapor","1","0.33"
"More variable cannabinoid ratios","1","0.33"
"More variety edibles ","1","0.33"
"Most ","1","0.33"
"N/a","1","0.33"
"N/A I live in an illegal state. ","1","0.33"
"Never been to a dispensary","1","0.33"
"New at this","1","0.33"
"next new strain","1","0.33"
"Nine","1","0.33"
"no","1","0.33"
"No concerns","1","0.33"
"No dispensary ","1","0.33"
"No Over-Taxation on MEDICINE....grrrr...","1","0.33"
"Non","1","0.33"
"Northern Lights","1","0.33"
"not applicable","1","0.33"
"Not that familiar with other strains ","1","0.33"
"Nothing comes to mind","1","0.33"
"nothing specific","1","0.33"
"Oil Extract Concetrates","1","0.33"
"Pineapple Express","1","0.33"
"Pineapple Express, Skywalker OG","1","0.33"
"Pinnaple express","1","0.33"
"purple Dutchberry by artizen","1","0.33"
"Purple Haze","1","0.33"
"Runts","1","0.33"
"safe and reasonable price","1","0.33"
"Sativa","1","0.33"
"Smokable flower","1","0.33"
"Sour diesel, white widow, amnesia haze","1","0.33"
"stativa","1","0.33"
"Still learning on a App, called weed maps ","1","0.33"
"strains, including high CBD, more available strains","1","0.33"
"Sugar free edibles","1","0.33"
"Tahoe OG Kush   Suppositories   Patches","1","0.33"
"The dispensary has wonderful products but they are sometimes limited or out of stock.","1","0.33"
"The White","1","0.33"
"Traditional hash & bubble hash","1","0.33"
"unk","1","0.33"
"unkown","1","0.33"
"Vape cartriges","1","0.33"
"Vape Carts","1","0.33"
"vapes","1","0.33"
"varies","1","0.33"
"Vietnamese Gold","1","0.33"
"Wax or cartridges","1","0.33"
"We want Homegrows and PESTICIDE FREE PRODUCT, almost nothing in the stores is truly pesticide free","1","0.33"
"West coast strains","1","0.33"
"where good","1","0.33"
"White Widow or Hybred of WW","1","0.33"
