"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  293"
"response","count","percent_responded"
"Posttraumatic stress disorder (PTSD)","110","37.54"
"Chronic pain","93","31.74"
"Anxiety","25","8.53"
"Depression","24","8.19"
"Bipolar/manic depression","10","3.41"
"Insomnia","5","1.71"
"Cancer","4","1.37"
"Multiple sclerosis","4","1.37"
"Cardiovascular disease","3","1.02"
"Substance abuse/addiction","3","1.02"
"Diabetes","2","0.68"
"Fibromyalgia/myositis","2","0.68"
"Gastrointestinal/digestive system disorders","2","0.68"
"Obesity","2","0.68"
"Arthritis","1","0.34"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.34"
"Hypertension","1","0.34"
"Reflux esophagitis","1","0.34"
