"q11","How do you prefer to use cannabis? Please select all that apply.","n =  723"
"response","count","percent_responded"
"Smoke flower","574","79.39"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","448","61.96"
"Vape cartridges","448","61.96"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","306","42.32"
"Vape flower","248","34.3"
"Tinctures","223","30.84"
"Salves/topicals","169","23.37"
"Capsules","92","12.72"
"Transdermal patches","46","6.36"
"Suppositories","24","3.32"
"Other (please specify)","12","1.66"
