"q14","What are the effects of your pain? (Please select all that apply)","n =  60"
"response","count","percent_responded"
"Enjoyment of life","52","86.67"
"Physical activity","52","86.67"
"Mobility","42","70"
"Energy level","41","68.33"
"Sleep","41","68.33"
"Mood","39","65"
"Household chores","37","61.67"
"Relationships with others","37","61.67"
"Depression","34","56.67"
"Anxiety","33","55"
"Concentration","30","50"
"Sexual functioning","30","50"
"Self esteem","24","40"
"Memory","22","36.67"
"Personal care","18","30"
"Appetite","13","21.67"
