"q52","What questions regarding cannabis did we not ask that are important to you?","n =  418"
"response","count","percent_responded"
"None","83","19.86"
"none","37","8.85"
"None ","13","3.11"
"N/A","10","2.39"
"n/a","8","1.91"
"Na","7","1.67"
"N/a","6","1.44"
"Not sure","6","1.44"
"Nothing ","4","0.96"
"None that I can think of","3","0.72"
"Nothing","3","0.72"
"Can't think of anything","2","0.48"
"na","2","0.48"
"none ","2","0.48"
"None.","2","0.48"
"1) How may I find employment in this growing industry?    2) Will there be training for skilled labor positions (such as kitchen or Lab work) in the industry?","1","0.24"
"about my sustained and maintenance care regarding opiate addiction recovery. Survey focuses only on patients who are ""trying it"" ... I've been succeeding for the past 3 years. The information regarding the continued care in this area of recovery that is not ""NEW""OR ""TRYING"" ... but actually succeeding, (questions about ""sustaining success,"" etc)","1","0.24"
"Add FECO to list of products used.","1","0.24"
"Advertising","1","0.24"
"Al were good","1","0.24"
"All","1","0.24"
"all good","1","0.24"
"ALL OF THEM","1","0.24"
"All references seem to be dispensary or budtender based.  Maybe ask how many are using private caregivers and the quality we offer.","1","0.24"
"All where","1","0.24"
"Am i interested in stronger strains for sleep, relaxation, depression help?  Yes.","1","0.24"
"Are the patients' needs being met satisfactorily by the supply of dispensaries (No, more demand than available supply)","1","0.24"
"Are you using cannabis to seek relief without a high?  Or, do you have to be high to achieve medical relief?  Or, how important is getting relief without a high to you?  The dosing question should separate THC amount from CBD amount because the total number of cannabinoids is misleading. For example, my daily use is 100mg total, 80CBD 20THC. This put me in high usage category but I don't get high.   A question on how knowledgable friends and family are about cannabis would give a broader understanding of market knowledge.   Where would you prefer to gain knowledge about cannabis could reveal a need for unrealized sources?  Asking more specific questions on pricing of products would reveal the how wide the price range is in the market, i.e. price per mg of each method used. ","1","0.24"
"Are your healcare providers knowledgeable about the specifics of medicinal cannabis use? Not at all!","1","0.24"
"asd","1","0.24"
"Balance of CBD to THC","1","0.24"
"Bask","1","0.24"
"Can't think of any","1","0.24"
"can't think of any ","1","0.24"
"Can't think of any right now","1","0.24"
"Can't think of any.","1","0.24"
"Can't think of one","1","0.24"
"Can I have the right to protect myself with the 2nd amendment and still have my medicine? ","1","0.24"
"can not think of any ","1","0.24"
"Can’t think of any ","1","0.24"
"Can’t think of anything right now ","1","0.24"
"Cannot think of any at the moment","1","0.24"
"CBD and pets","1","0.24"
"CBD use in particular","1","0.24"
"Continued availability of educational materials or events to educate medical patients. ","1","0.24"
"Cost","1","0.24"
"Cost pricing","1","0.24"
"Country wide pricing structure, the west Coast is 1/2 price of East Coast at this present time.","1","0.24"
"Demographic information if people want to share- it's good to get a cross section of what type of people are using cannabis now, what careers they have, are they parents/students/ professionals etc.","1","0.24"
"Did you grow up in a family where Cannabis was used?","1","0.24"
"Dispensary employees need to understand which terpenes are good for different ailments.  ","1","0.24"
"do  you feel cannabis is more or less safe than alcohol. & i  would answer alcohol is far more dangerous & is the gateway drug to be concerned with. not cannabis","1","0.24"
"Do I prefer cannabis over pharmaceuticals?   Hell yes!","1","0.24"
"Do you feel comfortable consuming cannabis in your housing ?  ","1","0.24"
"Do you grow your own medical marijuana?","1","0.24"
"Do you know someone who grows","1","0.24"
"Do you think Medical Doctors need education related to marijuana ","1","0.24"
"Do you think that it’s unfair to have to worry about traveling with this medicine. It’s ok to have those opioids in your daily pill box or benzodiazepines but that cannabis is a issue when flying or traveling in general. ","1","0.24"
"Do you think the individual states with legalized cannabis will get over their greed and cut taxes?","1","0.24"
"Does it matter to you if it’s grown organically ","1","0.24"
"Does your local dispensary provide currant lab test results including mold and pesticide levels ","1","0.24"
"Don't have any right now","1","0.24"
"Don’t have any questions","1","0.24"
"Don’t know ","1","0.24"
"Dont know","1","0.24"
"dosing","1","0.24"
"Education is important.  What are some areas that new patients require to be able to make their own medications?","1","0.24"
"Education programs on growing and juicing. ","1","0.24"
"effect on mood","1","0.24"
"effect on prices and illegal pot vs pharma","1","0.24"
"Effects of job scrutiny for disabled persons that ""use"" cannabis throughout the day to numb the daily pain levels enough to function at a more ""normal "" acceptable level. ","1","0.24"
"For those who have come off of opiates and other drugs, there were only questions about present use, not past use. More questions about policies and knowledge of staff at dispensaries","1","0.24"
"Getting into the biz","1","0.24"
"Have you been impacted by criminalization, & how that effects current ability to use. ","1","0.24"
"Hemp relation","1","0.24"
"Home test cheap enough to use","1","0.24"
