"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Depression/mood","9","56.25"
"Anxiety/panic attacks","8","50"
"Pain","7","43.75"
"Sleep/insomnia","7","43.75"
"Inflammation","6","37.5"
"Aggression","5","31.25"
"Attention/concentration","3","18.75"
"Spasms","3","18.75"
"Drug withdrawal","2","12.5"
"Appetite/weight","1","6.25"
"Headache","1","6.25"
"Mania/psychosis","1","6.25"
"Nausea/vomiting","1","6.25"
