"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  144"
"response","count","percent_responded"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","50","34.72"
"I have reduced my prescription medication use in the past","42","29.17"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","33","22.92"
"I don’t take any medications","30","20.83"
"Anti-inflammatories","21","14.58"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","21","14.58"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","21","14.58"
"I'm not trying to reduce any medication use","18","12.5"
"Muscle relaxants","18","12.5"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","16","11.11"
"Other (please specify)","8","5.56"
"Sedatives/hypnotics","7","4.86"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","7","4.86"
"Antipsychotics (e.g. Abilify, Seroquel)","6","4.17"
"Antihypertensives","4","2.78"
"Antimigraine","4","2.78"
"Beta Blockers","4","2.78"
"Steroids, including steroid creams","4","2.78"
"Statins (e.g. Lipitor, Crestor)","3","2.08"
"Proton pump inhibitors","2","1.39"
"Antiemetics","1","0.69"
"Barbiturates (e.g. Floricet)","1","0.69"
"Hormone replacement therapy (HRT)","1","0.69"
