"q13","Where are the locations of your pain (please check all that apply)","n =  14"
"response","count","percent_responded"
"Lower back","13","92.86"
"Knee","10","71.43"
"Neck","9","64.29"
"General joint pain","8","57.14"
"Hips","8","57.14"
"Hand","7","50"
"Wrist","7","50"
"Shoulder","6","42.86"
"Arm","5","35.71"
"Leg","5","35.71"
"Foot","4","28.57"
"Upper back","4","28.57"
"Head/headache","3","21.43"
"Buttocks","2","14.29"
"Generalized muscle pain","2","14.29"
"Mouth/dental pain","2","14.29"
"Abdomen","1","7.14"
"Full body","1","7.14"
"Other (please specify)","1","7.14"
"Rectum","1","7.14"
"Stomach","1","7.14"
