"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  78"
"response","count","percent_responded"
"I have reduced my prescription medication use in the past","23","29.49"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","21","26.92"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","19","24.36"
"I don’t take any medications","15","19.23"
"Anti-inflammatories","14","17.95"
"Muscle relaxants","10","12.82"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","10","12.82"
"I'm not trying to reduce any medication use","8","10.26"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","7","8.97"
"Antimigraine","6","7.69"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","6","7.69"
"Other (please specify)","6","7.69"
"Sedatives/hypnotics","5","6.41"
"Beta Blockers","3","3.85"
"Statins (e.g. Lipitor, Crestor)","3","3.85"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","3","3.85"
"Antihypertensives","2","2.56"
"Barbiturates (e.g. Floricet)","2","2.56"
"Insulin","2","2.56"
"Steroids, including steroid creams","2","2.56"
"Antiemetics","1","1.28"
"Antipsychotics (e.g. Abilify, Seroquel)","1","1.28"
