Q#44,Have you experienced any side effects from using cannabis? (Please select all that apply),,
,,,
chosen,count,percent_all,percent_responded
Dry mouth,386,22.61%,68.32%
Increased energy,200,11.72%,35.40%
Changes in appetite,199,11.66%,35.22%
More or less talkative,191,11.19%,33.81%
Sleepiness/fatigue,140,8.20%,24.78%
Changes in libido,73,4.28%,12.92%
"Feeling of being ""altered""",62,3.63%,10.97%
Memory problems,61,3.57%,10.80%
Other (please specify),56,3.28%,9.91%
Difficulty concentrating,45,2.64%,7.96%
Paranoia,44,2.58%,7.79%
Heart racing/palpitations,39,2.28%,6.90%
"Tough to get started in the morning (lassitude) or ""couch lock""",35,2.05%,6.19%
"Increased respiratory symptoms (coughing, wheezing, sneezing)",32,1.87%,5.66%
Racing thoughts,31,1.82%,5.49%
Dizziness,20,1.17%,3.54%
Anxiety,19,1.11%,3.36%
Apathy,17,1.00%,3.01%
Sweating,17,1.00%,3.01%
Nausea,15,0.88%,2.65%
Headache,10,0.59%,1.77%
"GI changes (constipation, diarrhea, abdominal discomfort)",9,0.53%,1.59%
Depression,6,0.35%,1.06%
