"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  126"
"response","count","percent_responded"
"Sleep/insomnia","71","56.35"
"Anxiety/panic attacks","58","46.03"
"Depression/mood","54","42.86"
"Pain","54","42.86"
"Aggression","23","18.25"
"Attention/concentration","17","13.49"
"Inflammation","17","13.49"
"Appetite/weight","15","11.9"
"Headache","15","11.9"
"Spasms","14","11.11"
"Nausea/vomiting","7","5.56"
"Other (please specify)","5","3.97"
"Skin conditions","2","1.59"
"Drug withdrawal","1","0.79"
