"q5","What is the primary health condition for which you find cannabis to be helpful or most impactful? Please select one.","n =  242"
"response","count","percent_responded"
"Chronic pain","127","52.48"
"Anxiety","28","11.57"
"Other (please specify)","19","7.85"
"Arthritis","16","6.61"
"Depression/mood","14","5.79"
"Insomnia","13","5.37"
"Post-Traumatic Stress Disorder (PTSD)","13","5.37"
"Inflammatory Bowel Disease (IBD)","5","2.07"
"Nausea/vomiting","4","1.65"
"Attention Deficit/Hyperactivity Disorder (ADHD)","2","0.83"
"End of life care","1","0.41"
