"q8","How does cannabis 
help your daily life? 
Please select all that 
apply.","n =  187"
"response","count","percent_responded"
"Helps with psychological symptoms (anxiety, stress, calm, sadness, energy)","147","78.61"
"Generally helped with quality of life","138","73.8"
"Helped with physical symptoms (body pains, function, sensation)","119","63.64"
"Helps me currently reduce the use of prescription medications","86","45.99"
"Helps me currently reduce over the counter medications","72","38.5"
"Helps to reduce use of alcohol","72","38.5"
"Helps to avoid starting other medicines (including opiates)","58","31.02"
"Helps to reduce use of over the counter or prescription medications in the past","46","24.6"
"Helps to reduce use of tobacco","39","20.86"
"Helps to reduce use of opiates","32","17.11"
"Other (please specify)","11","5.88"
"Has not helped my daily life","1","0.53"
