"q8","How does cannabis 
help your daily life? 
Please select all that 
apply.","n =  119"
"response","count","percent_responded"
"Helps with psychological symptoms (anxiety, stress, calm, sadness, energy)","96","80.67"
"Generally helped with quality of life","92","77.31"
"Helped with physical symptoms (body pains, function, sensation)","76","63.87"
"Helps me currently reduce the use of prescription medications","58","48.74"
"Helps to reduce use of alcohol","53","44.54"
"Helps me currently reduce over the counter medications","45","37.82"
"Helps to avoid starting other medicines (including opiates)","44","36.97"
"Helps to reduce use of over the counter or prescription medications in the past","32","26.89"
"Helps to reduce use of tobacco","24","20.17"
"Helps to reduce use of opiates","20","16.81"
"Other (please specify)","8","6.72"
"Has not helped my daily life","1","0.84"
