"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  151  avg =  67.815"
"response","count","percent_responded"
"100","79","52.32"
"0","30","19.87"
"50","5","3.31"
"99","5","3.31"
"10","3","1.99"
"25","2","1.32"
"48","2","1.32"
"5","2","1.32"
"65","2","1.32"
"70","2","1.32"
"75","2","1.32"
"85","2","1.32"
"12","1","0.66"
"14","1","0.66"
"28","1","0.66"
"40","1","0.66"
"42","1","0.66"
"45","1","0.66"
"55","1","0.66"
"59","1","0.66"
"60","1","0.66"
"7","1","0.66"
"80","1","0.66"
"90","1","0.66"
"94","1","0.66"
"95","1","0.66"
"98","1","0.66"
