"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  320  avg =  17.319"
"response","count","percent_responded"
"0","118","36.88"
"1","14","4.38"
"50","11","3.44"
"16","9","2.81"
"6","9","2.81"
"11","8","2.5"
"100","7","2.19"
"2","7","2.19"
"17","6","1.88"
"19","6","1.88"
"13","5","1.56"
"24","5","1.56"
"29","5","1.56"
"3","5","1.56"
"30","5","1.56"
"4","5","1.56"
"7","5","1.56"
"10","4","1.25"
"21","4","1.25"
"26","4","1.25"
"27","4","1.25"
"51","4","1.25"
"8","4","1.25"
"9","4","1.25"
"14","3","0.94"
"18","3","0.94"
"22","3","0.94"
"25","3","0.94"
"33","3","0.94"
"38","3","0.94"
"47","3","0.94"
"20","2","0.62"
"23","2","0.62"
"28","2","0.62"
"32","2","0.62"
"34","2","0.62"
"35","2","0.62"
"39","2","0.62"
"42","2","0.62"
"48","2","0.62"
"12","1","0.31"
"15","1","0.31"
"43","1","0.31"
"44","1","0.31"
"49","1","0.31"
"5","1","0.31"
"52","1","0.31"
"53","1","0.31"
"54","1","0.31"
"61","1","0.31"
"63","1","0.31"
"64","1","0.31"
"66","1","0.31"
"70","1","0.31"
"71","1","0.31"
"77","1","0.31"
"78","1","0.31"
"80","1","0.31"
"83","1","0.31"
"85","1","0.31"
"91","1","0.31"
"97","1","0.31"
"98","1","0.31"
