"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  185  avg =  85.341"
"response","count","percent_responded"
"0","81","43.78"
"100","10","5.41"
"150","9","4.86"
"50","9","4.86"
"30","8","4.32"
"10","7","3.78"
"20","6","3.24"
"40","6","3.24"
"60","6","3.24"
"200","4","2.16"
"25","4","2.16"
"15","2","1.08"
"300","2","1.08"
"35","2","1.08"
"45","2","1.08"
"55","2","1.08"
"80","2","1.08"
"90","2","1.08"
"1","1","0.54"
"1000","1","0.54"
"1200","1","0.54"
"140","1","0.54"
"1400","1","0.54"
"160","1","0.54"
"2000","1","0.54"
"24","1","0.54"
"250","1","0.54"
"28","1","0.54"
"3","1","0.54"
"400","1","0.54"
"450","1","0.54"
"500","1","0.54"
"600","1","0.54"
"70","1","0.54"
"700","1","0.54"
"75","1","0.54"
"8","1","0.54"
"800","1","0.54"
"9","1","0.54"
