"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  126"
"response","count","percent_responded"
"Dry mouth","89","70.63"
"Increased energy","44","34.92"
"Changes in appetite","43","34.13"
"More or less talkative","43","34.13"
"Sleepiness/fatigue","33","26.19"
"Feeling of being ""altered""","20","15.87"
"Changes in libido","15","11.9"
"Memory problems","13","10.32"
"Heart racing/palpitations","10","7.94"
"Paranoia","9","7.14"
"Racing thoughts","9","7.14"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","8","6.35"
"Other (please specify)","8","6.35"
"Difficulty concentrating","7","5.56"
"Sweating","6","4.76"
"Tough to get started in the morning (lassitude) or ""couch lock""","6","4.76"
"Anxiety","5","3.97"
"Apathy","4","3.17"
"Dizziness","3","2.38"
"GI changes (constipation, diarrhea, abdominal discomfort)","3","2.38"
"Nausea","3","2.38"
"Depression","1","0.79"
