"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  142"
"response","count","percent_responded"
"Burn Pits","76","53.52"
"Specific Environmental Hazards","34","23.94"
"Asbestos","32","22.54"
"I was not exposed to any of these","25","17.61"
"Agent Orange","19","13.38"
"Gulf war illness","19","13.38"
"Radiation Exposure","14","9.86"
"contaminated drinking water at camp Lejelune","11","7.75"
"Other (please specify)","9","6.34"
"Gulf war illness in Afghanistan","4","2.82"
"Children having birth defects like Spina Bifida","3","2.11"
"Contact with mustard gas or lewisite","3","2.11"
