"q21","What products/strains do you want that are not currentlyt available in your local dispensaries?","n =  703"
"response","count","percent_responded"
"None","25","3.56"
"N/a","19","2.7"
"N/A","19","2.7"
"n/a","12","1.71"
"none","11","1.56"
"Not sure","8","1.14"
"Blue dream","5","0.71"
"Unsure","5","0.71"
"Durban Poison","4","0.57"
"Maui Wowie","4","0.57"
"None ","4","0.57"
"Purple haze","4","0.57"
"Sour diesel","4","0.57"
"3 chems","3","0.43"
"all","3","0.43"
"Cheese","3","0.43"
"don't know","3","0.43"
"I don’t know","3","0.43"
"Live resin","3","0.43"
"Moon rocks ","3","0.43"
"Na","3","0.43"
"Northern Lights","3","0.43"
"Unknown","3","0.43"
"24k","2","0.28"
"ACDC","2","0.28"
"Beverages","2","0.28"
"Blue Dream","2","0.28"
"Candyland","2","0.28"
"Don't know","2","0.28"
"Dont know","2","0.28"
"Drinks","2","0.28"
"Gelato","2","0.28"
"Green Crack","2","0.28"
"Harlequin ","2","0.28"
"Higher dose edibles","2","0.28"
"Higher thc ","2","0.28"
"idk","2","0.28"
"Idk","2","0.28"
"Jack Herer","2","0.28"
"Jack Herrer","2","0.28"
"Lemon ice","2","0.28"
"Lemon Skunk","2","0.28"
"Moonrock","2","0.28"
"na","2","0.28"
"not sure","2","0.28"
"Not sure ","2","0.28"
"Pineapple express","2","0.28"
"Rosin","2","0.28"
"Shatter ","2","0.28"
"Sour Diesel, Train Wreck, Skywalker Kush","2","0.28"
"Strawberry Fields","2","0.28"
"Super silver haze","2","0.28"
"Underdawg","2","0.28"
"unknown","2","0.28"
"100% Haze ","1","0.14"
"24K","1","0.14"
"a GoFire","1","0.14"
"A larger variety of edibles ","1","0.14"
"ACDC, Harlequin, Cannatonic, 9Ib Hammer, Blackberry Kush, Purple Arrow, Blue Widow, Cataract Kush,  Mazar I Sharif ","1","0.14"
"ACDC, High CBD 2:1","1","0.14"
"Acidic cannabinoids","1","0.14"
"AeroInhaler","1","0.14"
"Affordable product","1","0.14"
"afghan kush","1","0.14"
"Afghani","1","0.14"
"Afghani Kush, Thai Stick, greater edibles selection","1","0.14"
"Agent orange flower ","1","0.14"
"All","1","0.14"
"All-local dispensary offers proprietary strains only.  ","1","0.14"
"all are from LP's in Canada","1","0.14"
"All good","1","0.14"
"All of the strains in answer 17.","1","0.14"
"All of them ","1","0.14"
"All products as I do not have medical","1","0.14"
"Am relatively happy with diversity of strains, but wish more more consistency (e.g., dispensary running out of a favorite for a long time)","1","0.14"
"Amnesia Haze,larger and different variety of edibles","1","0.14"
"Any God strains","1","0.14"
"Any hazes, pure sativas","1","0.14"
"Any high CBD strain or very balanced strains with a variety of cannabinoids rather than just high percent of THC","1","0.14"
"Banana bread ","1","0.14"
"Banana OG, Pineapple Jack, ","1","0.14"
"Barry White","1","0.14"
"Bath Balms, facial creams/massage oils","1","0.14"
"Better concentrate selection","1","0.14"
"Better quality flower","1","0.14"
"Better tasting edibles","1","0.14"
"Beverages ","1","0.14"
"Beverages, similar to a beer and what is under development in Canada.","1","0.14"
"Bho","1","0.14"
"BHO","1","0.14"
"Big bud skunk","1","0.14"
"Black Triangle","1","0.14"
"Black triangle kush","1","0.14"
"Blackberry hash honey vapes","1","0.14"
"Blissful wizard","1","0.14"
"Blissful Wizard, Alaskan Thunderfuck","1","0.14"
"Blue azure","1","0.14"
"Blue Cheese ","1","0.14"
"blue dream","1","0.14"
"Blue Dream, Durban Poison, Sour Diesel, Super Silver Haze, Tangerine Haze","1","0.14"
"Blue Dreams ground flower","1","0.14"
"Blueberry ","1","0.14"
"Blueberry and Hash (not bubble hash)","1","0.14"
"Blueberry anything ","1","0.14"
"Boost Vyb cartridges","1","0.14"
"Bootylicious ","1","0.14"
"Brownies, Cookies","1","0.14"
"Bruce Banner","1","0.14"
"Bruce banner, topicals, kief patties","1","0.14"
"Bubble Kush","1","0.14"
"Bubblegum skunk#1 ","1","0.14"
"Bulk vape oil, maybe in a loaded syringe. I would prefer to fill my own more quality cartridges that don't malfunction.  ","1","0.14"
"California dream","1","0.14"
"California super skunk #2","1","0.14"
"California weed","1","0.14"
"can't think of any","1","0.14"
"Can’t think of any","1","0.14"
"Cannabis-infused beverages","1","0.14"
"Cannabis gum","1","0.14"
"Cannabis inhaler","1","0.14"
"cannabis lube","1","0.14"
"Cannabis seeds","1","0.14"
"Cannatonic, Jack Herer","1","0.14"
"Capsules","1","0.14"
"CAPSULES","1","0.14"
"Capsules and more choices of edibles","1","0.14"
"capsules/tincture/oils w/o any sugar, ""natural"" flavors, binders, gums etc","1","0.14"
"Caviar Prerolled Joints","1","0.14"
"Cbd ","1","0.14"
"CBD / THC mixed strains","1","0.14"
"Cbd capsules","1","0.14"
"CBD Flower","1","0.14"
"CBD flower varieties","1","0.14"
"CBD only vape cartridges","1","0.14"
"CBD Salve, CBD Tinctures, CBD Bath Bombs (all low stock due to regulation)","1","0.14"
"Cbd tampons","1","0.14"
"CBD THC 1:1 flower","1","0.14"
"CBD Vape ","1","0.14"
"cbd/thc strains","1","0.14"
"Cbd/thc transdermal patch","1","0.14"
"CBDA / THCA line","1","0.14"
"Chad bud acapulco gold and creeper","1","0.14"
"Charlotte's web","1","0.14"
"Charlotte's Web","1","0.14"
"Charlotte's Web Plants (Or Haleigh’s Hope plants)","1","0.14"
"Charlotte's web, or any vape cartridges with higher CBD content","1","0.14"
"Charlottes web","1","0.14"
"Cheaper flower","1","0.14"
"Cheaper Rosin","1","0.14"
"Cheaper strains and cartridges ","1","0.14"
"Chemdawg","1","0.14"
"Chocolate Thai","1","0.14"
"Chocolates","1","0.14"
"Chocolope, more vegan/gluten free edibles","1","0.14"
"Christmas tree","1","0.14"
"CLEAR","1","0.14"
"Clones","1","0.14"
"clones, more beauty products, keif ","1","0.14"
"Clones, seeds","1","0.14"
"Coconut oil","1","0.14"
"Columbian Gold","1","0.14"
"Concentrates ","1","0.14"
"Cookies ","1","0.14"
"Cookies and cream","1","0.14"
"Cookies and cream ","1","0.14"
"Cooking oil","1","0.14"
"Cosmetics ","1","0.14"
"dab rigs","1","0.14"
"dab rigs / gadgets to go with products I purchase, would just like greater strain variety in the dispensaries ","1","0.14"
"Dabbing wax","1","0.14"
"Deadhead OG","1","0.14"
"Destilste","1","0.14"
"Diamonds in sauce ","1","0.14"
"Diesel","1","0.14"
"Distillates and live rosin ","1","0.14"
"Do not trust dispensaries ","1","0.14"
"Don't care","1","0.14"
"Don't Have Any","1","0.14"
"Don't have local dispensaries ","1","0.14"
"Don't shop at a dispensary ","1","0.14"
"Don’t mnow","1","0.14"
"Don’t shop at a dispensary ","1","0.14"
"Dont care for names","1","0.14"
"Dosi Dos","1","0.14"
"Dr. Who","1","0.14"
"drinks ","1","0.14"
"Drinks that aren't 30$ a dose","1","0.14"
"Drinks, diamonds","1","0.14"
"drops","1","0.14"
"dry sift rosin that isn't crazy expensive","1","0.14"
"Durban Poison, Maui Wowi, more old school strains/land races in general","1","0.14"
"Edible Options, high dose gummy/lozenges.","1","0.14"
"edibles","1","0.14"
"Edibles","1","0.14"
"Edibles ","1","0.14"
"Everything because recreational dispensaries aren’t open yet.","1","0.14"
